state_name,state_name_slug,state_code,state_code_slug,city_name,city_name_slug,district,at_large,vacant,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,date_of_birth,entered_office,term_end,email,phone,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,population,background_url,city_government_url,city_council_url,city_council_calendar_url,city_council_legislation_url,city_council_committees_url,twitter_handle,twitter_url,facebook_url,photo_url
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","1","false","false","councilor","democrat","Mark Squilla","mark-squilla","Mark","Mark","Squilla",,,,"male","white-american",,"2012-01-02",,"mark.squilla@phila.gov","215-686-3458","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 332, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","332","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","CMMarkSquilla","https://twitter.com/CMMarkSquilla","https://www.facebook.com/councilmanmarksquilla/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/mark-squilla.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","2","false","false","councilor","democrat","Kenyatta Johnson","kenyatta-johnson","Kenyatta","Kenyatta","Johnson",,,,"male","african-american",,"2012-01-02",,"kenyatta.johnson@phila.gov","215-686-3412","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 580, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","580","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","CouncilmanKJ","https://twitter.com/CouncilmanKJ","https://www.facebook.com/CouncilmanKenyattaJohnson/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/kenyatta-johnson.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","3","false","false","councilor","democrat","Jannie Blackwell","jannie-blackwell","Jannie","Jannie","Blackwell",,,,"female","african-american",,"1992-01-06",,"jannie.l.blackwell@phila.gov","215-686-3418","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 408, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","408","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/",,,"https://www.facebook.com/JannieBlackwell/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/jannie-blackwell.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","4","false","false","councilor","democrat","Curtis Jones","curtis-jones","Curtis","Curtis","Jones",,,,"male","african-american",,"2008-01-08",,"curtis.jones@phila.gov","215-686-3416","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 404, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","404","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","Mr4thDistrict","https://twitter.com/Mr4thDistrict","https://www.facebook.com/Fourthdist/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/curtis-jones.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","5","false","false","council-president","democrat","Darrell Clarke","darrell-clarke","Darrell","Darrell","Clarke",,,,"male","african-american",,"1999-05-18",,"darrell.clarke@phila.gov","215-686-3442","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 313, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","313","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","Darrell_Clarke","https://twitter.com/Darrell_Clarke","https://www.facebook.com/CouncilmanDarrellLClarke/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/darrell-clarke.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","6","false","false","majority-leader","democrat","Bobby Henon","bobby-henon","Bobby","Bobby","Henon",,,,"male","white-american","1969-01-11","2012-01-02",,"bobby.henon@phila.gov","215-686-3444","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 484, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","484","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","BobbyHenon","https://twitter.com/BobbyHenon","https://www.facebook.com/CouncilmanHenon/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/bobby-henon.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","7","false","false","councilor","democrat","Maria Quinones-Sanchez","maria-quinones-sanchez","Maria","Maria","Quinones-Sanchez",,,,"female","hispanic-american","1968-11-21","2008-01-07",,"maria.q.sanchez@phila.gov","215-686-3448","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 330, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","330","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","MariaQSanchez","https://twitter.com/MariaQSanchez","https://www.facebook.com/MariaQSanchez/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/maria-quinones-sanchez.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","8","false","false","councilor","democrat","Cindy Bass","cindy-bass","Cindy","Cindy","Bass",,,,"female","african-american","1967-11-04","2008-01-07",,"cindy.bass@phila.gov","215-686-3424","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 312, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","312","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","cindybassphilly","https://twitter.com/cindybassphilly","https://www.facebook.com/cindybassphilly","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/cindy-bass.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","9","false","false","councilor","democrat","Cherelle Parker","cherelle-parker","Cherelle","Cherelle","Parker",,,,"female","african-american",,"2016-01-04",,"cherelle.parker@phila.gov","215-686-3454","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 577, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","577","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","CherelleParker9","https://twitter.com/CherelleParker9","https://www.facebook.com/CouncilwomanCherelleLParker","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/cherelle-parker.jpg"
"Pennsylvania","pennsylvania","PA","pa","Philadelphia","philadelphia","10","false","false","minority-leader","republican","Brian O'Neill","brian-oneill","Brian","Brian","O'Neill",,,,"male","white-american","1949-12-23","1980-01-07",,"brian.oneill@phila.gov","215-686-3422","40.0024137","-75.258117","1401 John F Kennedy Blvd, Room 562, Philadelphia, PA 19107","1401",,"John F Kennedy","Room","562","Philadelphia","PA","19107","Blvd","1568000","https://cdn.civil.services/city-council/pa/philadelphia/backgrounds/1280x720/city.jpg","http://phlcouncil.com/","http://phlcouncil.com/council-members/","https://phila.legistar.com/Calendar.aspx/","https://phila.legistar.com/","http://phlcouncil.com/standing-committees/","ONeill4NEPhilly","https://twitter.com/ONeill4NEPhilly","https://www.facebook.com/CouncilmanONeill/","https://cdn.civil.services/city-council/pa/philadelphia/headshots/512x512/brian-oneill.jpg"
